timestamp_ms,temp,hum,ldr
1670025,26.20,52.00,3507
1675025,26.20,52.00,3504
1680025,26.20,52.00,3507
1685025,26.20,52.00,3505
1690025,26.20,52.00,3511
1695025,26.20,52.00,3507
1700025,26.20,52.00,3602
1705025,26.20,52.00,3530
1710025,26.20,52.00,3525
1715025,26.20,52.00,3530
1720025,26.20,52.00,3527
1725025,26.20,52.00,3523
1730025,26.20,53.00,3524
1735025,26.20,53.00,3519
1740025,26.20,53.00,3520
1745025,26.20,52.00,3521
1750025,26.20,52.00,3519
1755025,26.20,52.00,3520
1760025,26.20,52.00,3519
1765025,26.20,52.00,3520
1770025,26.20,52.00,3537
1775025,26.20,52.00,3520
1780025,26.20,52.00,3513
1785025,26.20,52.00,3516
1790025,26.20,52.00,3521
1795025,26.20,52.00,3511
1800025,26.20,52.00,3507
1805000,26.20,52.00,3504
1810000,26.20,52.00,3522
1815000,26.10,52.00,3521
1820000,26.00,52.00,3521
1825000,26.00,52.00,3520
1830025,26.10,53.00,3520
1835025,26.00,52.00,3520
1840025,25.90,52.00,3502
1845025,25.80,52.00,3505
1850000,25.80,52.00,3507
1855000,25.80,52.00,3507
1860000,25.80,52.00,3509
1865000,25.80,52.00,3510
1870000,25.80,52.00,3511
1875000,25.90,52.00,3518
1880000,26.00,52.00,3514
1885025,26.10,52.00,3509
1890025,26.20,52.00,3506
1895025,26.20,52.00,3513
1900025,26.20,52.00,3519
1905000,26.20,52.00,3507
1910000,26.20,52.00,3504
1915000,26.20,52.00,3504
1920000,26.20,52.00,3506
1925000,26.20,52.00,3511
1930000,26.20,52.00,3562
1935000,26.20,52.00,3559
1940000,26.00,52.00,3562
1945000,26.00,52.00,3553
1950000,26.00,52.00,3557
1955000,26.00,52.00,3551
1960000,26.00,52.00,3552
1965000,26.20,52.00,3508
1970000,26.20,52.00,3517
1975000,26.20,52.00,3515
1980000,26.20,52.00,3507
1985000,26.00,52.00,3526
1990000,25.90,52.00,3522
1995000,25.80,52.00,3530
2000000,25.80,52.00,3520
2005000,25.80,52.00,3522
2010000,25.80,52.00,3515
2015000,25.90,52.00,3511
2020000,25.80,52.00,3513
2025000,25.80,52.00,3520
2030000,25.80,52.00,3516
2035000,25.80,52.00,3518
2040000,25.80,52.00,3519
2045000,25.80,52.00,3520
2050000,25.80,52.00,3507
2055000,25.90,52.00,3522
2060000,26.00,52.00,3521
2065000,26.10,52.00,3513
2070025,26.20,52.00,3511
2075025,26.20,52.00,3510
2080025,26.10,52.00,3515
2085025,26.20,52.00,3513
2090025,26.20,52.00,3523
2095025,26.20,52.00,3520
2100025,26.20,52.00,3527
2105025,26.20,52.00,3523
2110025,26.20,52.00,3514
2115025,26.20,52.00,3527
2120025,26.20,52.00,3525
2125025,26.10,52.00,3522
2130025,25.80,52.00,3522
2135025,25.80,52.00,3518
2140025,25.80,52.00,3519
2145025,25.80,52.00,3514
2150025,25.80,52.00,3508
2155025,25.80,52.00,3504
2160025,25.80,52.00,3506
2165025,25.80,52.00,3510
2170025,25.80,52.00,3515
2175025,25.80,52.00,3520
2180025,25.80,52.00,3507
2185025,25.80,52.00,3504
2190025,25.80,52.00,3505
2195025,25.80,52.00,3514
2200025,25.80,52.00,3509
2205025,25.80,52.00,3517
2210025,25.80,52.00,3520
2215025,25.80,52.00,3515
2220025,25.80,52.00,3519
2225025,25.80,52.00,3518
2230025,25.80,52.00,3527
2235025,25.80,52.00,3520
2240025,25.80,52.00,3529
2245025,25.80,52.00,3520
2250025,25.80,52.00,3527
2255025,25.80,52.00,3521
2260025,25.80,52.00,3523
2265025,25.80,52.00,3545
2270025,25.80,52.00,3543
2275025,25.80,52.00,3535
2280025,25.80,52.00,3536
2285025,25.80,52.00,3526
2290025,25.80,52.00,3520
2295025,25.80,52.00,3503
2300025,25.80,52.00,3504
2305025,25.80,52.00,3510
2310025,25.80,52.00,3504
2315025,25.80,52.00,3502
2320025,25.80,52.00,3565
2325025,25.80,52.00,3566
2330000,25.80,52.00,3572
2335000,25.80,52.00,3568
2340000,25.80,52.00,3571
2345025,25.80,52.00,3518
2350025,25.80,52.00,3583
2355000,25.80,52.00,3581
2360000,25.80,52.00,3577
2365000,25.80,52.00,3581
2370000,25.90,52.00,3574
2375000,26.10,52.00,3599
2380000,26.20,52.00,3549
2385025,26.20,52.00,3536
2390025,26.20,52.00,3539
2395025,26.20,52.00,3543
2400025,26.20,52.00,3535
2405000,26.20,52.00,3536
2410000,26.20,52.00,3543
2415000,26.20,52.00,3537
2420000,26.20,52.00,3536
2425000,26.20,52.00,3539
2430000,26.20,52.00,3537
2435000,26.20,52.00,3543
2440000,26.20,52.00,3583
2445000,26.20,52.00,3583
2450000,26.20,52.00,3599
2455000,26.20,52.00,3583
2460000,26.20,52.00,3582
2465000,26.20,52.00,3583
2470000,26.20,52.00,3598
2475000,26.20,52.00,3600
2480000,26.20,51.00,3549
2485000,26.20,51.00,3551
2490000,26.20,51.00,3484
2495000,26.20,51.00,3548
2500000,26.20,51.00,3558
2505000,26.20,51.00,3536
2510000,26.20,51.00,3542
2515000,26.20,51.00,3542
2520000,26.20,51.00,3552
2525000,26.20,51.00,3543
2530000,26.20,51.00,3543
2535025,26.20,51.00,3533
2540025,26.20,51.00,3533
2545025,26.20,51.00,3536
2550025,26.20,51.00,3516
2555025,26.20,51.00,3519
2560025,26.20,51.00,3533
2565025,26.20,51.00,3515
2570025,26.20,51.00,3551
5026,24.80,57.00,1226
10025,24.80,57.00,1205
15025,24.80,57.00,1207
20025,24.80,57.00,1285
25025,24.80,57.00,1315
30025,24.80,57.00,1392
35025,24.80,57.00,1191
40025,24.80,57.00,1408
45000,24.80,58.00,1395
50025,24.70,58.00,1328
55025,24.80,58.00,1302
60025,24.80,58.00,1296
65025,24.80,58.00,1299
70025,24.80,58.00,1314
75025,24.80,58.00,1347
80025,24.80,58.00,1342
85025,24.80,58.00,1338
90025,24.80,58.00,1331
95025,24.80,58.00,1328
100025,24.80,58.00,1366
105025,24.80,58.00,1375
110025,24.80,58.00,1269
115025,24.80,58.00,1305
120025,24.80,58.00,1322
125025,24.80,58.00,1729
130025,24.80,58.00,1399
135025,24.80,58.00,1729
140025,24.80,58.00,1714
145025,24.80,58.00,1715
150025,24.80,58.00,1723
155025,24.80,58.00,1382
160025,24.80,58.00,1377
165025,24.80,58.00,1361
170025,24.80,58.00,1353
175025,24.80,58.00,1373
180025,24.80,58.00,1393
185025,24.80,58.00,1394
190025,24.80,58.00,1443
195025,24.80,58.00,1447
200000,24.80,58.00,1362
205025,24.80,58.00,1353
210025,24.80,58.00,1412
215025,24.80,58.00,1375
220025,24.80,58.00,1395
225025,24.80,58.00,1406
230025,24.80,58.00,1397
235025,24.80,59.00,1391
240025,24.80,59.00,1387
245025,24.80,59.00,1386
250025,24.80,59.00,1367
255025,24.80,59.00,1358
260025,24.80,59.00,1359
265025,24.80,59.00,1366
270025,24.80,59.00,1392
275025,24.80,59.00,1409
280025,24.80,59.00,1398
285025,24.80,59.00,1399
290025,24.80,59.00,1361
295025,24.80,59.00,1673
300025,24.80,59.00,1666
305025,24.80,59.00,1673
310025,24.80,59.00,1667
315025,24.80,59.00,1661
320025,24.80,59.00,1655
325025,24.80,59.00,1639
330025,24.80,59.00,1643
335025,24.80,60.00,1654
340025,24.80,60.00,1654
345025,24.80,60.00,1665
350025,24.80,60.00,1657
355025,24.80,60.00,1365
360025,24.80,60.00,1390
365025,24.80,60.00,1346
370025,24.80,60.00,1348
375025,24.80,60.00,1354
380025,24.80,60.00,1347
385025,24.80,60.00,1185
390025,24.80,60.00,1306
395025,24.80,60.00,1282
5025,24.80,60.00,1359
10000,24.80,60.00,1372
15000,24.80,60.00,1364
